# Sentences written for this pack where Tatoeba has fewer than two usable
# sentences for a word. Format: Persian<TAB>English. Formal register, 4-9
# words, pack vocabulary where possible. Reviewed by hand; they ship with
# "src": "gen" and no audio. Append only (line order sets the corpus ids).
نمایش ساعت هشت شروع می‌شود.	The show starts at eight o'clock.
من خوبم، شما چطور؟	I'm fine, and how about you?
همینطور ادامه بده.	Keep going like this.
هر روز پیاده به محل کارم می‌روم.	Every day I walk to my workplace.
برای بچه‌ها یک محل مناسب برای بازی پیدا کردیم.	We found a suitable place for the children to play.
او در یک سازمان بزرگ کار می‌کند.	She works for a large organisation.
این سازمان به بچه‌ها کمک می‌کند.	This organisation helps children.
حداقل یک ساعت صبر کن.	Wait at least an hour.
استاد ما زبان فارسی درس می‌دهد.	Our professor teaches Persian.
دفتر من در طبقه‌ی سوم است.	My office is on the third floor.
هنوز معلوم نیست او کی می‌آید.	It is not yet clear when he will come.
او بعد از کار خسته به خانه برگشت.	He came home tired after work.
پلیس این پرونده را بررسی می‌کند.	The police are examining this case.
پرونده‌ی شما را روی میز گذاشتم.	I put your file on the desk.
غذای این رستوران فوق‌العاده است.	The food of this restaurant is extraordinary.
او یک آدم فوق‌العاده است.	He is an extraordinary person.
من در این مسابقه شرکت کردم.	I took part in this competition.
من دیگر نمی‌توانم این سر و صدا را تحمل کنم.	I can no longer put up with this noise.
دانشمندان روی این بیماری تحقیق می‌کنند.	Scientists are doing research on this disease.
تحقیق من یک سال طول کشید.	My research took a year.
لطفاً کمی عقب بروید.	Please move back a little.
اجرای این برنامه آسان نیست.	Carrying out this plan is not easy.
معنی این کلمه چیست؟	What is the meaning of this word?
من معنی این جمله را نمی‌فهمم.	I do not understand the meaning of this sentence.
ما کتاب‌های مختلفی خواندیم.	We read various books.
امروز یک غذای ویژه برای مهمان‌ها پختیم.	Today we cooked a special meal for the guests.
برای مهمان‌ها غذای ویژه درست کردیم.	We made special food for the guests.
دست مرا ول کن!	Let go of my hand!
بیا درباره‌ی این قضیه با پدرت صحبت کنیم.	Let's talk to your father about this matter.
پدرم پیر شده است.	My father has grown old.
همه روزی پیر می‌شوند.	Everyone grows old one day.
جامعه به معلم‌های خوب نیاز دارد.	Society needs good teachers.
بس است، دیگر حرف نزن!	That's enough, don't talk anymore!
نود درصد مردم موافق هستند.	Ninety percent of the people agree.
قیمت‌ها ده درصد بالا رفت.	Prices went up ten percent.
تولد تو کی است؟	When is your birthday?
مدیر مدرسه با ما صحبت کرد.	The school principal talked with us.
او در مسائل سیاسی کار می‌کند.	He works on political matters.
آن‌ها ساعت‌ها درباره‌ی مسائل سیاسی بحث کردند.	They argued for hours about political issues.
وزیر امروز به شهر ما آمد.	The minister came to our city today.
وزیر با مردم صحبت کرد.	The minister talked with the people.
یک دسته گل برای مادرم خریدم.	I bought a bunch of flowers for my mother.
دسته‌ی کیفم در راه مدرسه شکست.	The handle of my bag broke on the way to school.
ما جدا از هم زندگی می‌کنیم.	We live apart from each other.
دکتر به من دستور داد استراحت کنم.	The doctor ordered me to rest.
فرمانده دستور حرکت را داد.	The commander gave the order to move.
هوا خیلی تغییر کرده است.	The weather has changed a lot.
بله قربان، الآن می‌آیم.	Yes sir, I'm coming now.
بله قربان، همین الان می‌آیم.	Yes sir, I'm coming right now.
شاه در قصر زندگی می‌کرد.	The king lived in the palace.
مثلاً می‌توانیم فردا برویم.	For example, we can go tomorrow.
من میوه دوست دارم، مثلاً سیب.	I like fruit, for example apples.
در واقع او حق دارد.	In fact, he is right.
کلاس ساعت نه آغاز شد.	The class began at nine o'clock.
من هر هفته به بازار می‌روم.	I go to the market every week.
مادرم هر هفته از این بازار میوه می‌خرد.	My mother buys fruit from this market every week.
او دم در منتظر ماست.	He is waiting for us at the door.
این گربه یک دم بلند و سیاه دارد.	This cat has a long black tail.
تیم ما دیروز شکست خورد.	Our team was defeated yesterday.
مجلس امروز این قانون را تصویب کرد.	Parliament approved this law today.
نماینده‌ها در مجلس جمع شدند.	The representatives gathered in parliament.
این مدرسه به بچه‌ها آموزش رایگان می‌دهد.	This school gives children free education.
مدرک دانشگاهی دارید؟	Do you have a university degree?
ثبت نام از فردا شروع می‌شود.	Registration starts tomorrow.
تولدت را تبریک می‌گویم.	I congratulate you on your birthday.
به او تبریک گفتم.	I congratulated him.
کنترل این ماشین آسان است.	Controlling this car is easy.
کنترل تلویزیون کجاست؟	Where is the TV remote control?
او نمی‌تواند خشمش را کنترل کند.	He cannot control his anger.
باید هزینه‌ها را کنترل کنیم.	We must control the costs.
صحنه‌ی آخر فیلم خیلی زیبا بود.	The last scene of the film was very beautiful.
این کارخانه ماشین تولید می‌کند.	This factory produces cars.
این کتاب صد صفحه دارد.	This book has a hundred pages.
صد نفر برای این کار ثبت نام کردند.	A hundred people signed up for this job.
بچه‌ها بعد از مدرسه در پارک بازی می‌کنند.	The children play in the park after school.
ما همیشه با اتوبوس به شهر می‌رویم چون ارزان است.	We always go to town by bus because it's cheap.
مرحله‌ی اول آسان بود.	The first stage was easy.
در مرحله‌ی بعد چه کار کنیم؟	What should we do in the next stage?
میز را وسط اتاق گذاشتیم.	We put the table in the middle of the room.
او وسط حرف من آمد.	He came in the middle of my talk.
صدای شلیک را شنیدم.	I heard the sound of a shot.
پلیس شلیک کرد.	The police fired.
برای ما از سفرت تعریف کن.	Tell us about your trip.
او جرأت نکرد حرف بزند.	He did not dare to speak.
او دانشجوی پزشکی است.	She is a medical student.
مامور پلیس به ما کمک کرد.	The police officer helped us.
مامور در را باز کرد.	The officer opened the door.
بچه‌ها در فعالیت‌های مدرسه شرکت می‌کنند.	The children take part in school activities.
کتاب را فردا پس می‌دهم.	I will give the book back tomorrow.
لطفاً خودتان را معرفی کنید.	Please introduce yourself.
مردم این شهر به دین خود احترام می‌گذارند.	The people of this city respect their religion.
مردم این شهر به دین احترام می‌گذارند.	The people of this city respect religion.
مردم او را به عنوان نماینده انتخاب کردند.	The people chose him as their representative.
نماینده‌ی شرکت فردا می‌آید.	The company's representative is coming tomorrow.
پایه‌ی صندلی شکست و او زمین خورد.	The chair leg broke and he fell down.
این شلوار بعد از شستن تنگ شد.	These trousers got tight after washing.
ماشین از کوچه‌ی تنگ رد نشد.	The car couldn't get through the narrow lane.
ما از وجود شما در جلسه خوشحال شدیم.	We were glad to have you at the meeting.
از وجود شما خوشحالیم.	We are glad you are here.
انتظار ما خیلی طول کشید.	Our wait took a long time.
یک مهندس جوان این خانه را طراحی کرد.	A young engineer designed this house.
انقلاب ایران در سال ۱۳۵۷ بود.	The Iranian revolution was in 1979.
پدربزرگم درباره‌ی انقلاب داستان‌های زیادی تعریف می‌کند.	My grandfather tells many stories about the revolution.
من بیست سال دارم.	I am twenty years old.
دکتر درمان را از هفته‌ی بعد شروع می‌کند.	The doctor will start the treatment next week.
دکتر درمان را شروع کرد.	The doctor started the treatment.
باران آمد، بنابراین در خانه ماندیم.	It rained, so we stayed at home.
پلیس برای نجات بچه آمد.	The police came to save the child.
او جان مرا نجات داد.	He saved my life.
عملیات نجات تمام شد.	The rescue operation is finished.
ارتش عملیات را قبل از صبح شروع کرد.	The army began the operation before morning.
ما در این امر به کمک شما نیاز داریم.	We need your help in this matter.
او به این امر توجه نکرد.	He paid no attention to this matter.
من خاطره‌ی خوبی از آن سفر دارم.	I have a good memory of that trip.
این عکس خاطره‌های کودکی مرا زنده کرد.	This photo brought back my childhood memories.
برق خانه قطع شد.	The house's electricity went off.
من پیشنهاد شما را قبول می‌کنم.	I accept your suggestion.
این کرم پوست را نرم می‌کند.	This cream makes the skin soft.
پوست این میوه را نخور.	Don't eat the skin of this fruit.
این جاده به شهر می‌رود.	This road goes to the city.
من یک تک ستاره در آسمان دیدم.	I saw a single star in the sky.
او تک فرزند خانواده است.	He is the only child of the family.
متاسفانه دیر رسیدیم.	Unfortunately we arrived late.
متاسفانه او امروز مریض است.	Unfortunately she is sick today.
او مقام بالایی در دولت دارد.	He has a high position in the government.
مقام‌های شهر به جلسه آمدند.	The city officials came to the meeting.
این ضربه خیلی قوی بود.	This blow was very strong.
توپ با یک ضربه به دروازه رفت.	The ball went into the goal with one kick.
معلم جدید جو کلاس را عوض کرد.	The new teacher changed the atmosphere of the class.
فرمانده به سربازها دستور داد.	The commander gave orders to the soldiers.
فرمانده جلوی سربازها ایستاد.	The commander stood in front of the soldiers.
این شرکت کارمند جدید استخدام می‌کند.	This company is hiring new employees.
شرکت ما هر سال چند کارمند جدید استخدام می‌کند.	Our company hires a few new employees every year.
خفه شو!	Shut up!
من فردا یک ارائه درباره‌ی ایران دارم.	Tomorrow I have a presentation about Iran.
لطفا خاک روی میز را پاک کن.	Please wipe the dust off the table.
این مدل ماشین خیلی گران است.	This car model is very expensive.
او مدل موی جدیدی دارد.	She has a new hairstyle.
موقعیت ما خیلی خوب نیست.	Our situation is not very good.
این موقعیت خوب را از دست نده.	Don't miss this good opportunity.
دمای هوا امروز به سی درجه رسید.	The temperature reached thirty degrees today.
پدرش سی سال در ارتش و کار نظامی بود.	His father spent thirty years in the army doing military work.
یک نمونه به من نشان بده.	Show me a sample.
معلم یک نمونه از کار خوب را به ما نشان داد.	The teacher showed us an example of good work.
برادرم در ارتش است.	My brother is in the army.
من یک مجموعه‌ی کتاب دارم.	I have a collection of books.
او یک مجموعه‌ی بزرگ از تمبر جمع کرده است.	He has collected a large set of stamps.
حکومت قانون جدیدی نوشت.	The government wrote a new law.
این شرکت کار جدیدی ایجاد کرد.	This company created new jobs.
زود بیا، وگرنه دیر می‌شود.	Come early, otherwise it will be late.
مستقیم به خانه برو.	Go straight home.
این خیابان مستقیم است.	This street is straight.
مادرم شام را آماده کرد.	My mother prepared dinner.
از همکاری شما ممنونم.	Thank you for your cooperation.
او به آن خانه اشاره کرد.	He pointed at that house.
معلم به این مشکل اشاره کرد.	The teacher referred to this problem.
نیمه‌ی شب به خانه رسیدیم.	We got home at midnight.
تن او خسته بود.	His body was tired.
او مشکل مالی دارد.	He has a financial problem.
وضع مالی ما بهتر شده است.	Our financial situation has got better.
بابت کمکت ممنونم.	Thank you for your help.
شخصیت اصلی این فیلم را خیلی دوست داشتم.	I really liked the main character of this film.
او شخصیت قوی دارد.	She has a strong personality.
به همه سلام کن.	Say hello to everyone.
او به من سلام کرد.	He said hello to me.
اسم خود را در لیست بنویس.	Write your name on the list.
این لیست خیلی طولانی است.	This list is very long.
تلویزیون فیلم را ساعت نه پخش می‌کند.	The TV shows the film at nine o'clock.
پخش برنامه قطع شد.	The broadcast of the programme was cut off.
قیمت شامل صبحانه است.	The price includes breakfast.
تولد من در ماه تیر است.	My birthday is in the month of Tir.
در ماه تیر به سفر دریا رفتیم.	In the month of Tir we went on a sea trip.
زبان رسمی ایران فارسی است.	The official language of Iran is Persian.
این نویسنده کتاب‌های زیادی برای بچه‌ها نوشت.	This writer wrote many books for children.
ما در یک واحد کوچک زندگی می‌کنیم.	We live in a small apartment.
یک دقیقه شصت ثانیه دارد.	A minute has sixty seconds.
چند ثانیه صبر کن.	Wait a few seconds.
چرا ناراحت هستی؟	Why are you upset?
کیف من در فرودگاه گم شد.	My bag got lost at the airport.
چه باغ قشنگی!	What a beautiful garden!
ماجرای سفرت را برایم بگو.	Tell me the story of your trip.
این معامله برای ما خوب بود.	This deal was good for us.
آب به یخ تبدیل شد.	The water turned into ice.
من دلارها را در بانک به ریال تبدیل کردم.	I changed the dollars into rials at the bank.
او زبان خارجی بلد است.	He knows a foreign language.
صاحب این خانه کیست؟	Who is the owner of this house?
پرواز داخلی ارزان‌تر است.	Domestic flights are cheaper.
پروازهای داخلی امروز دیر کردند.	Domestic flights were late today.
گروه یک رهبر جدید انتخاب کرد.	The group chose a new leader.
رهبر تیم با ما صحبت کرد.	The team leader talked with us.
انتقال پول یک روز طول می‌کشد.	Transferring money takes one day.
مردم این سرزمین مهمان را دوست دارند.	The people of this land love guests.
او عاشق یک دختر شد.	He fell in love with a girl.
من عاشق این شهر شدم.	I fell in love with this city.
لطفاً به این دست نزن.	Please don't touch this.
مردم برای او دست زدند.	The people clapped for him.
پلیس قاتل را پیدا کرد.	The police found the killer.
قاتل فرار کرد.	The killer ran away.
آسمان آبی است.	The sky is blue.
من یک پیراهن آبی دارم.	I have a blue shirt.
او سعی نمود کمک کند.	He tried to help.
دولت اقدام سریعی کرد.	The government took quick action.
این اقدام خیلی مهم بود.	This action was very important.
گوشی من خاموش است.	My phone is off.
کار زیاد عامل اصلی خستگی او بود.	Too much work was the main cause of his tiredness.
او ساعت هشت از خانه خارج شد.	He left the house at eight o'clock.
ما از شهر خارج شدیم.	We left the city.
مقاومت آن‌ها زیاد بود.	Their resistance was strong.
آزمایش خون دادم.	I gave a blood test.
هیئت مدیره جلسه دارد.	The board of directors has a meeting.
هیئت ایرانی به پاریس رفت.	The Iranian delegation went to Paris.
فک او درد می‌کند.	His jaw hurts.
دکتر به فک من نگاه کرد.	The doctor looked at my jaw.
او برای کسب پول کار می‌کند.	He works to earn money.
او در این کار تجربه‌ی زیادی کسب کرد.	He gained a lot of experience in this work.
خواهرم در دانشگاه رشته‌ی حقوق را انتخاب کرد.	My sister chose law as her subject at university.
ملت ایران به این روز افتخار می‌کند.	The Iranian nation is proud of this day.
امروز شنبه است.	Today is Saturday.
شنبه به مدرسه می‌روم.	On Saturday I go to school.
خداوند مهربان است.	God is kind.
پدربزرگم در باغ درخت سیب کاشت.	My grandfather planted an apple tree in the garden.
او جایزه‌ی اول را برد.	She won the first prize.
فردا به سراغ تو می‌آیم.	I will come to see you tomorrow.
چرا سراغ من آمدی؟	Why did you come to me?
همانطور که گفتم، او دیر می‌آید.	As I said, he comes late.
همانطور که می‌دانی، من معلم هستم.	As you know, I am a teacher.
دولت برای جوان‌ها کار جدید ایجاد کرد.	The government created new jobs for young people.
کله‌ی او خیلی بزرگ است.	His head is very big.
کله‌ام درد می‌کند.	My head hurts.
او از گناه خود پشیمان شد.	He regretted his sin.
سند خانه را در یک جای امن نگه دار.	Keep the house deed in a safe place.
من از شما شرمنده هستم.	I am ashamed before you.
بچه‌ها با توپ بازی می‌کنند.	The children are playing with a ball.
توپ را به من بده.	Give me the ball.
با کاهش قیمت‌ها، مردم بیشتر خرید کردند.	With the fall in prices, people bought more.
او با ورزش ده کیلو وزن کم کرد.	He lost ten kilos of weight through exercise.
پدرم به من یک کتاب هدیه داد.	My father gave me a book as a present.
برای تولدش به او گل هدیه دادم.	I gave her flowers for her birthday.
بچه‌ها اسباب‌بازی‌ها را جمع کردند.	The children gathered up the toys.
لطفاً وسایلت را جمع کن.	Please gather your things.
این علامت یعنی خطر.	This sign means danger.
علامت سوال را فراموش کردی.	You forgot the question mark.
باید این فکر را کنار بگذاری.	You must put this idea aside.
او کمی پول کنار گذاشت.	He put a little money aside.
یک نکته‌ی مهم را بگویم.	Let me say one important point.
این نکته را فراموش نکن.	Don't forget this point.
جشن فردا برگزار می‌شود.	The celebration will be held tomorrow.
جلسه در دانشگاه برگزار شد.	The meeting was held at the university.
شناسایی او آسان نبود.	Identifying him was not easy.
موتور ماشین روشن نمی‌شود.	The car's engine won't start.
این اطلاعات را در اختیار شما می‌گذارم.	I'm putting this information at your disposal.
این کار در اختیار من نیست.	This is not within my control.
او عین همان حرف‌های پدرش را زد.	He said exactly the same words as his father.
او عین پدرش است.	He is just like his father.
وضع اقتصادی کشور بهتر شد.	The country's economic situation got better.
وضع اقتصادی مردم در این سال‌ها بهتر شد.	People's economic situation improved over these years.
دهه‌ی گذشته خیلی چیزها تغییر کرد.	Many things changed in the last decade.
او دو دهه در این شهر زندگی کرد.	He lived in this city for two decades.
صنعت ماشین‌سازی در این شهر رشد کرد.	The car industry grew in this city.
او در صنعت نفت کار می‌کند.	He works in the oil industry.
سرویس اتوبوس ساعت هفت می‌آید.	The bus service comes at seven o'clock.
این هتل سرویس خوبی دارد.	This hotel has good service.
او یک حلقه‌ی طلا دارد.	She has a gold ring.
حلقه‌ی ازدواجم را گم کردم.	I lost my wedding ring.
واکنش او خیلی جالب بود.	His reaction was very interesting.
دادگاه حکم خود را داد.	The court gave its ruling.
دادگاه حکم نهایی را امروز اعلام کرد.	The court announced the final ruling today.
گردنم درد می‌کند.	My neck hurts.
او یک گردن‌بند به گردن دارد.	She has a necklace around her neck.
اینترنت خانه‌ی ما قطع است.	Our home internet is down.
من هر روز از اینترنت استفاده می‌کنم.	I use the internet every day.
سلاح او روی میز بود.	His weapon was on the table.
این گیاه سم دارد.	This plant has poison.
رانندگی در برف خیلی خطرناک است و باید آهسته رفت.	Driving in snow is very dangerous and you must go slowly.
رقص ایرانی زیباست.	Iranian dance is beautiful.
پیروزی تیم ما را جشن گرفتیم.	We celebrated our team's victory.
این پیروزی برای ما مهم بود.	This victory was important to us.
دستم سوخت.	My hand got burnt.
غذا سوخت.	The food got burnt.
ساعت شش صبح راه افتادیم.	We set off at six in the morning.
کی راه می‌افتی؟	When are you setting off?
برادرم دو سال در نظام خدمت کرد.	My brother did two years of military service.
برادرم به نظام رفت.	My brother went into military service.
معلم اشتباه‌های متن مرا اصلاح کرد.	The teacher corrected the mistakes in my text.
او زبان فارسی را خوب فرا گرفت.	She learned Persian well.
سربازها به پایگاه برگشتند.	The soldiers returned to the base.
من این کلمه را غلط نوشتم.	I wrote this word wrong.
مادرم برای مهمانی غذای زیادی تهیه کرد.	My mother prepared a lot of food for the party.
امشب مهمان داریم.	We have guests tonight.
چهره‌ی او را فراموش نمی‌کنم.	I won't forget his face.
ما در قرن بیست و یکم زندگی می‌کنیم.	We live in the twenty-first century.
این خانه یک قرن پیش ساخته شد.	This house was built a century ago.
او قسم خورد که راست می‌گوید.	He swore that he was telling the truth.
قسم می‌خورم که این کار را نکردم.	I swear I did not do this.
آن بازیگر در یک فیلم جدید بازی می‌کند.	That actor is acting in a new film.
این بازیگر در فیلم‌های زیادی بازی کرد.	This actor played in many films.
بچه با مادرش قهر کرد.	The child stopped speaking to his mother.
او آدم نیکی است.	He is a good person.
کار نیک همیشه نتیجه دارد.	A good deed always pays off.
درون این جعبه چیست؟	What is inside this box?
رهبری تیم با اوست.	The leadership of the team is his.
پیک بسته را دیروز تحویل داد.	The courier delivered the parcel yesterday.
لطفا کتاب‌ها را تا جمعه تحویل بدهید.	Please hand in the books by Friday.
تمامی دانشجوها در کلاس بودند.	All the students were in class.
ما به شمال ایران سفر کردیم.	We travelled to the north of Iran.
در بهار همه جا سبز می‌شود.	In spring everything turns green.
شاهزاده در قصر زندگی می‌کند.	The prince lives in the palace.
تو در این چند ماه پیشرفت زیادی کردی.	You've made a lot of progress in these few months.
یک قطعه کیک برای من بگذار.	Leave a piece of cake for me.
او یک قطعه‌ی زیبا با پیانو زد.	He played a beautiful piece on the piano.
او دچار مشکل شد.	He ran into a problem.
پدرم دچار بیماری قلبی است.	My father has heart disease.
او مقاله‌های علمی زیادی نوشته است.	He has written many scientific articles.
فرق این دو چیست؟	What is the difference between these two?
او مشکل روانی دارد.	He has a psychological problem.
سلامت روانی مهم است.	Mental health is important.
پدرم حرفه‌ی خود را خیلی دوست دارد.	My father loves his profession.
ملکه برای مردم دست تکان داد.	The queen waved to the people.
ظاهراً او امروز نمی‌آید.	Apparently he is not coming today.
ظاهراً او امروز به مدرسه نیامد.	Apparently he didn't come to school today.
من از کار زیاد خسته شدم.	I got tired from too much work.
فعلاً خداحافظ.	Goodbye for now.
پلیس به مردم هشدار داد.	The police warned the people.
امشب به سینما می‌رویم.	We are going to the cinema tonight.
نوبت شماست.	It's your turn.
نوبت من کی است؟	When is my turn?
انگشتم درد می‌کند.	My finger hurts.
لطفاً از آتش دور شوید.	Please move away from the fire.
کشتی از ساحل دور شد.	The ship moved away from the shore.
معذرت می‌خواهم، دیر آمدم.	I'm sorry, I came late.
کامیون برای حمل میوه به شهر آمد.	The truck came to the city to carry fruit.
هوای این اتاق مثل جهنم گرم است.	The air in this room is as hot as hell.
او بدی کسی را نمی‌خواهد.	He does not wish anyone harm.
من از او بدی ندیدم.	I have never seen anything bad from him.
میزان باران امسال کم است.	The amount of rain this year is low.
میزان قند خونش بالاست.	His blood sugar level is high.
او دانش خود را با ما قسمت کرد.	He shared his knowledge with us.
تعیین قیمت کار ما نیست.	Setting the price is not our job.
زمان جلسه هنوز تعیین نشده است.	The meeting time has not been set yet.
آن بازیکن دو گل زد.	That player scored two goals.
بازیکن‌ها وارد زمین شدند.	The players came onto the field.
تولدت مبارک!	Happy birthday!
عید شما مبارک!	Happy holiday to you!
نسل جدید اینترنت را دوست دارد.	The new generation loves the internet.
این خانه از نسلی به نسل دیگر رسید.	This house passed from one generation to the next.
این محله امن است.	This neighbourhood is safe.
راننده ماشین را نگه داشت.	The driver stopped the car.
بچه‌ها با هیجان منتظر هستند.	The children are waiting with excitement.
چندتا سیب می‌خواهی؟	How many apples do you want?
من چندتا سیب از بازار خریدم.	I bought a few apples from the market.
ما درباره‌ی این موضوع بحث کردیم.	We discussed this subject.
او این داستان را از پدرش نقل کرد.	He told this story from his father.
ما به توافق رسیدیم.	We reached an agreement.
تیم ما جام را برد.	Our team won the cup.
یک جام آب به من بده.	Give me a glass of water.
کتاب جدید او منتشر شد.	His new book was published.
این خبر در روزنامه منتشر شد.	This news was published in the newspaper.
دولت برای توسعه‌ی روستاها پول خرج کرد.	The government spent money on developing the villages.
بچه‌ها با صدای شاد آواز خواندند.	The children sang with happy voices.
تنظیم این ساعت آسان است.	Setting this clock is easy.
بانوی خانه در را باز کرد.	The lady of the house opened the door.
این بانو معلم ماست.	This lady is our teacher.
این جعبه را بلند کن.	Lift this box.
این کانال فیلم خوب پخش می‌کند.	This channel broadcasts good films.
ایران نفت زیادی دارد.	Iran has a lot of oil.
قیمت نفت بالا رفت.	The price of oil went up.
این تقصیر من نیست.	This is not my fault.
تقصیر کیست؟	Whose fault is it?
بدن ما از سلول ساخته شده است.	Our body is made of cells.
زندانی در سلول بود.	The prisoner was in the cell.
من هر روز یک ساعت پیانو تمرین می‌کنم.	I practise the piano for an hour every day.
اسم او از لیست حذف شد.	His name was removed from the list.
او در مسابقه چهارم شد.	He came fourth in the competition.
باران همچنان می‌بارد.	It is still raining.
فرض کن که تو معلم هستی.	Suppose that you are the teacher.
من حرف‌های او را درک نمی‌کنم.	I don't understand what he says.
درک او از زبان خوب است.	His understanding of the language is good.
لباس‌ها خشک شدند.	The clothes have dried.
او یک آدم عوضی است.	He is a jerk.
آن مرد عوضی به من دروغ گفت.	That jerk lied to me.
مادرم مرا صدا کرد.	My mother called me.
معلم اسم مرا صدا کرد.	The teacher called my name.
این بالش خیلی نرم است.	This pillow is very soft.
نانوا هر صبح نان تازه می‌پزد.	The baker bakes fresh bread every morning.
مدیر این کار را به عهده‌ی من گذاشت.	The manager put this job in my charge.
مسئولیت بچه‌ها به عهده‌ی اوست.	Responsibility for the children is his.
فردا یک مصاحبه‌ی کاری دارم.	I have a job interview tomorrow.
مصاحبه‌ی او در تلویزیون پخش شد.	His interview was broadcast on television.
مغازه ساعت نه باز می‌شود.	The shop opens at nine o'clock.
این متن را بخوان.	Read this text.
متن نامه خیلی کوتاه بود.	The text of the letter was very short.
اگرچه خسته بود، کار کرد.	Although he was tired, he worked.
اگرچه باران می‌آمد، بیرون رفتیم.	Although it was raining, we went out.
این اتاق مخصوص مهمان‌هاست.	This room is for guests.
این غذای مخصوص ماست.	This is our special dish.
چاپ این کتاب تمام شد.	The printing of this book is finished.
کتاب او در ایران چاپ شد.	His book was printed in Iran.
او دیشب مست بود.	He was drunk last night.
مرد مست در خیابان خوابید.	The drunk man slept in the street.
شستن دست از بیماری جلوگیری می‌کند.	Washing hands prevents illness.
باید از این کار جلوگیری کنیم.	We must prevent this.
آب باران از سقف به داخل اتاق نفوذ کرد.	Rainwater seeped from the roof into the room.
لطفاً اینجا را امضا کنید.	Please sign here.
او سابقه‌ی کار زیادی دارد.	He has a lot of work experience.
مشتری منتظر است.	The customer is waiting.
این مغازه جنس خوب و ارزان می‌فروشد.	This shop sells good, cheap goods.
به راحتی می‌توانی این کار را بکنی.	You can do this easily.
او امتیاز بیشتری گرفت.	He got more points.
تیم ما ده امتیاز دارد.	Our team has ten points.
او در رأس شرکت است.	He is at the head of the company.
رأس ساعت هشت آمد.	He came at exactly eight o'clock.
اول صبحانه خوردیم، سپس بیرون رفتیم.	First we had breakfast, then we went out.
او در را بست و سپس رفت.	He closed the door and then left.
عدم توجه او مشکل ساخت.	His lack of attention caused a problem.
عدم حضور شما را دیدیم.	We noticed your absence.
او میز را با یک پارچه پاک کرد.	He wiped the table with a cloth.
این آب پاک نیست.	This water is not clean.
در زمستان آب دریاچه یخ می‌زند.	In winter the lake water freezes.
یخ روی دریاچه است.	There is ice on the lake.
این فقط خیال توست.	This is only your imagination.
ما باید تغییرات اساسی در برنامه بدهیم.	We must make basic changes to the plan.
مذاکره تا شب ادامه داشت.	The negotiation went on until night.
پدرم در کارخانه کار می‌کند.	My father works in a factory.
این کارخانه خیلی بزرگ است.	This factory is very big.
فردا یک تست داریم.	We have a test tomorrow.
تست خون من خوب بود.	My blood test was good.
او مدیریت شرکت را از پدرش گرفت.	He took over the running of the company from his father.
او رشته‌ی مدیریت خوانده است.	He studied management.
مدرسه در ماه مهر شروع می‌شود.	School starts in the month of Mehr.
این کمک‌های اولیه است.	This is first aid.
ماموریت او تمام شد.	His mission is finished.
او برای ماموریت به تهران رفت.	He went to Tehran on a mission.
مردم عدالت می‌خواهند.	The people want justice.
او به من ریاضی یاد داد.	He taught me maths.
برنامه‌ی ما عوض شد.	Our plans changed.
پلیس دوباره نظم را در شهر برقرار کرد.	The police restored order in the city again.
یک عرض کوچک دارم.	I have a small thing to say.
عرض رودخانه را با قایق رد کردیم.	We crossed the width of the river by boat.
